Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
53,17,60317.039489746094,1,1,99,99,99,99,99.0,0.0,99,99,99.0,0.0,3282.6544816354926,33.15812607712619,60317.039489746094,0.0,60317.039489746094,60317.039489746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16.579063038563095,16.579063038563095,99,99,99.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,99.0,99.0,99.0,0,0,0,0,0,0,1,99,1,99,0,0,0,0,0,0,0,0,0,0,0,0
53,17,56319.9520111084,1,1,99,292,99,99,99.0,0.0,292,292,292.0,0.0,6942.477506424015,35.51139389475199,56319.9520111084,0.0,56319.9520111084,56319.9520111084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,17.755696947375995,17.755696947375995,99,292,195.5,96.5,9312.25,0,0,0,0,0,0,0,0,1.0,195.5,99.0,292.0,0,0,0,0,0,0,1,99,1,292,0,0,0,0,0,0,0,0,0,0,0,0
53,17,60277.93884277344,1,1,99,268,99,99,99.0,0.0,268,268,268.0,0.0,6088.4629940195555,33.17963484479321,60277.93884277344,0.0,60277.93884277344,60277.93884277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16.589817422396607,16.589817422396607,99,268,183.5,84.5,7140.25,0,0,0,0,0,0,0,0,1.0,183.5,99.0,268.0,0,0,0,0,0,0,1,99,1,268,0,0,0,0,0,0,0,0,0,0,0,0
443,6,90302824.02038574,35,55,5963,75705,2106,74,170.37142857142857,362.9009377395505,8714,74,1376.4545454545455,1135.1751617851237,904.3792471159436,0.9966465719796606,1014638.4721391657,6654474.4079385605,45011322.021484375,0.95367431640625,90243875.9803772,2654231.646481682,10569873.129900375,45011322.021484375,40.0543212890625,90244841.0987854,1671200.7610886185,8484498.126574775,45071050.88233948,0.95367431640625,6,29,0,0,724,1124,0.38758477799209023,0.6090617939875703,74,8714,907.4222222222222,1088.3050121662475,1184407.799506176,2,2,0,35,89,0,0,0,1.5714285714285714,907.4222222222222,170.37142857142857,1376.4545454545455,0,0,0,0,0,0,35,5963,55,75705,65535,65535,7,20,0,0,0,0,0,0,0,0
5228,6,180429077.86369324,5,5,375,430,75,75,75.0,0.0,86,86,86.0,0.0,4.461586843602584,0.05542343905096378,20047675.31818814,22324085.549774826,45012979.03060913,78752.04086303711,180348928.92837524,45087232.23209381,5144.203924296841,45094655.03692627,45080794.09599304,180349231.95838928,45087307.98959732,3980.220964584167,45091731.07147217,45082190.990448,0,0,0,0,100,160,0.02771171952548189,0.02771171952548189,75,86,80.5,5.5,30.25,0,0,0,0,10,0,0,0,1.0,80.5,75.0,86.0,0,0,0,0,0,0,5,375,5,430,252,1045,5,20,0,0,0,0,0,0,0,0
5228,6,180521518.94569397,5,5,375,430,75,75,75.0,0.0,86,86,86.0,0.0,4.459302163539666,0.05539505793216977,20057946.549521554,22317281.059245847,45014805.07850647,78372.95532226562,180443145.9903717,45110786.497592926,37599.063938271225,45175693.98880005,45085414.88647461,180442130.08880615,45110532.52220154,41764.235435198665,45182856.08291626,45085512.87651062,0,0,0,0,100,160,0.027697528966084885,0.027697528966084885,75,86,80.5,5.5,30.25,0,0,0,0,10,0,0,0,1.0,80.5,75.0,86.0,0,0,0,0,0,0,5,375,5,430,253,1045,5,20,0,0,0,0,0,0,0,0
443,6,135025069.23675537,4,4,300,344,75,75,75.0,0.0,86,86,86.0,0.0,4.769484686364418,0.05924825697347103,19289295.60525077,22268215.804083403,45003102.06413269,3874.063491821289,135020664.2150879,45006888.07169596,926.1462170747658,45007961.03477478,45005701.06506348,135021195.17326355,45007065.05775452,597.6869260368823,45007507.08580017,45006220.10231018,0,0,0,0,80,128,0.029624128486735516,0.029624128486735516,75,86,80.5,5.5,30.25,0,0,0,0,8,0,0,0,1.0,80.5,75.0,86.0,0,0,0,0,0,0,4,300,4,344,250,18,4,20,0,0,0,0,0,0,0,0
443,6,134991594.07615662,6,9,414,597,83,55,69.0,14.0,79,54,66.33333333333333,10.208928554075703,7.4893552218491175,0.1111180299977614,9642256.719725471,15531575.466014544,45014133.9302063,238.89541625976562,134724835.1573944,26944967.03147888,14966408.000279859,45281023.025512695,14720949.172973633,134725261.926651,16840657.740831375,17528555.627543874,45280889.03427124,267127.99072265625,3,3,0,0,120,216,0.044447211999104556,0.06667081799865683,54,83,67.4,11.943198901466893,142.64,0,0,0,6,15,0,0,0,1.5,67.4,69.0,66.33333333333333,0,0,0,0,0,0,6,414,9,597,250,75,6,20,0,0,0,0,0,0,0,0
443,6,119499248.02780151,7,7,4434,691,3948,74,633.4285714285714,1353.233044774398,172,74,98.71428571428571,32.2521949893748,42.887299163653886,0.1171555489348594,9192249.848292423,17094312.197867975,45011713.0279541,0.0,119492678.88069153,19915446.480115253,20506515.277438466,45065168.85757446,135.18333435058594,119445792.19818115,19907632.033030193,20515526.28260631,45024662.017822266,0.0,2,2,0,0,140,176,0.0585777744674297,0.0585777744674297,74,3948,366.07142857142856,993.7906120568078,987619.7806122447,0,0,0,4,14,0,0,0,1.0,366.07142857142856,633.4285714285714,98.71428571428571,0,0,0,0,0,0,7,4434,7,691,250,18,5,20,0,0,0,0,0,0,0,0
443,17,285072.08824157715,12,14,7850,5636,1292,93,654.1666666666666,563.2056808031049,1296,90,402.57142857142856,438.1905512259175,47307.33227229047,91.20500067325762,11402.883529663086,20765.93927207218,82875.96702575684,0.0,202196.1212158203,18381.465565074574,27890.84208662883,83720.20721435547,86.78436279296875,226663.11264038086,17435.624049260066,25467.96172218629,84659.09957885742,0.0,0,0,0,0,0,0,42.094615695349674,49.11038497790795,90,1296,518.6923076923077,515.2884755336097,265522.21301775146,0,0,0,0,0,0,0,0,1.1666666666666667,518.6923076923077,654.1666666666666,402.57142857142856,0,0,0,0,0,0,12,7850,14,5636,0,0,0,0,0,0,0,0,0,0,0,0
1900,17,3045315.980911255,4,0,848,0,212,212,212.0,0.0,0,0,0.0,0.0,278.4604308109438,1.3134925981648293,1015105.3269704182,638.3151943023943,1016003.1318664551,1014575.0045776367,3045315.980911255,1015105.3269704182,638.3151943023943,1016003.1318664551,1014575.0045776367,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.3134925981648293,0.0,212,212,212.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,212.0,212.0,0.0,0,0,0,0,0,0,4,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,17,59997.0817565918,1,1,96,96,96,96,96.0,0.0,96,96,96.0,0.0,3200.155647218712,33.33495465852825,59997.0817565918,0.0,59997.0817565918,59997.0817565918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16.667477329264123,16.667477329264123,96,96,96.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,96.0,96.0,96.0,0,0,0,0,0,0,1,96,1,96,0,0,0,0,0,0,0,0,0,0,0,0
53,17,59064.86511230469,1,1,96,161,96,96,96.0,0.0,161,161,161.0,0.0,4351.148512933122,33.86107792165854,59064.86511230469,0.0,59064.86511230469,59064.86511230469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16.93053896082927,16.93053896082927,96,161,128.5,32.5,1056.25,0,0,0,0,0,0,0,0,1.0,128.5,96.0,161.0,0,0,0,0,0,0,1,96,1,161,0,0,0,0,0,0,0,0,0,0,0,0
53,17,56792.02079772949,1,1,96,149,96,96,96.0,0.0,149,149,149.0,0.0,4313.986305797996,35.21621474120813,56792.02079772949,0.0,56792.02079772949,56792.02079772949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,17.608107370604063,17.608107370604063,96,149,122.5,26.5,702.25,0,0,0,0,0,0,0,0,1.0,122.5,96.0,149.0,0,0,0,0,0,0,1,96,1,149,0,0,0,0,0,0,0,0,0,0,0,0
53,17,56103.94477844238,1,1,109,109,109,109,109.0,0.0,109,109,109.0,0.0,3885.6447770454324,35.6481172206003,56103.94477844238,0.0,56103.94477844238,56103.94477844238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,17.82405861030015,17.82405861030015,109,109,109.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,109.0,109.0,109.0,0,0,0,0,0,0,1,109,1,109,0,0,0,0,0,0,0,0,0,0,0,0
53,17,55880.069732666016,1,1,96,161,96,96,96.0,0.0,161,161,161.0,0.0,4599.135277201785,35.790936009352414,55880.069732666016,0.0,55880.069732666016,55880.069732666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,17.895468004676207,17.895468004676207,96,161,128.5,32.5,1056.25,0,0,0,0,0,0,0,0,1.0,128.5,96.0,161.0,0,0,0,0,0,0,1,96,1,161,0,0,0,0,0,0,0,0,0,0,0,0
